LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
1,0,0,0,30439,550,0,92
1,0,0,0,506,2486,0,7
1,0,0,1,931,5869,0,456
1,0,0,0,829,6165,0,383
1,0,0,0,299,7513,0,243
1,0,0,1,229,7513,0,13
1,0,0,0,275,4160,0,112
1,0,0,1,1779,3813,0,147
1,0,0,1,1846,608,0,43
1,0,0,1,605,1011,0,32
1,0,0,0,374,1287,0,52
1,0,0,0,539,1047,0,38
1,0,0,1,535,1061,0,47
1,0,0,1,398,969,0,22
1,0,0,0,544,1064,0,26
1,0,0,1,537,982,0,20
1,0,0,1,473,1017,0,28
1,0,0,2,565,769,0,50
1,0,0,1,502,430,0,38
1,0,0,0,318,639,0,46
1,0,0,1,256,639,0,21
1,0,0,1,293,596,0,43
1,0,0,1,288,593,0,41
1,0,0,0,268,251,0,31
1,0,0,0,373,246,0,35
1,0,0,0,398,160,0,44
1,0,0,0,316,227,0,34
1,0,0,0,335,337,0,42
1,0,0,1,380,337,0,49
1,0,0,1,503,377,0,46
1,0,0,1,1295,330,0,76
1,0,0,1,5012,323,0,761
1,0,0,1,8076,691,0,1946
1,0,0,0,7130,1703,0,376
1,0,0,0,3112,2165,0,210
1,0,0,1,1232,2165,0,255
1,0,0,1,1525,1887,0,79
1,0,0,1,1527,1930,0,37
1,0,0,1,1100,1930,0,88
1,0,0,0,675,1844,0,170
1,0,0,0,512,1547,0,18
1,0,0,0,501,1276,0,70
1,0,0,0,1480,1050,0,243
1,0,0,0,6234,1263,0,679
1,0,0,1,6546,1736,0,109
1,0,0,1,3189,1917,0,100
1,0,0,0,2457,2283,0,70
1,0,0,0,1763,2283,0,119
1,0,0,0,1366,2428,0,68
1,0,0,0,1855,2404,0,61
1,0,0,1,1837,1444,0,38
1,0,0,1,1277,4473,0,55
1,0,0,1,1576,4785,0,52
2,0,0,2374,13279,5917,0,807
2,0,0,1497,35891,5862,0,5661
2,0,0,1830,36049,3202,0,190
2,0,0,1975,15549,20719,0,85
2,0,0,2072,10865,24255,0,312
2,0,0,2258,12268,36484,0,300
0,0,0,2304,9392,36484,0,34
0,0,0,2348,1096,35769,0,26
0,0,0,2381,1074,28633,0,59
0,0,0,2396,765,28246,0,22
0,0,0,2424,825,20817,0,49
0,0,0,2443,994,12896,0,22
0,0,0,2452,1004,11082,0,30
0,0,0,2464,897,4626,0,27
0,0,0,2492,936,6286,0,48
0,0,0,2510,1008,6505,0,34
0,0,0,2514,981,5956,0,33
0,0,0,2534,855,5956,0,39
0,0,0,2550,1028,4554,0,35
0,0,0,2546,1101,4179,0,53
0,0,0,2568,921,4538,0,35
0,0,0,2567,1154,4538,0,35
0,0,0,2578,1150,4283,0,37
0,0,0,2592,942,3972,0,46
0,0,0,2597,895,3967,0,46
0,0,0,2607,914,3967,0,42
0,0,0,2616,1108,4095,0,20
0,0,0,2624,1172,4087,0,66
0,0,0,2641,1179,4042,0,55
0,0,0,2643,1209,4459,0,45
0,60,20.5,2658,1432,4387,0,33
0,60,20.5,2672,1431,4033,0,64
0,60,20.4,2678,1277,4312,0,19
0,59,20.9,2686,1229,4294,0,46
0,58,21,2379,7330,4294,0,220
2,58,21,2094,11404,3803,0,674
2,58,21,1,17493,6021,0,1205
1,0,0,0,18053,12965,0,941
1,0,0,1,10344,22245,0,249
1,0,0,0,18135,46853,0,540
1,0,0,1,19425,46853,0,326
1,0,0,0,9933,48173,0,26
2,0,0,1697,34583,49069,0,443
2,0,0,2900,46164,42019,0,7567
2,0,0,3078,33436,43772,0,553
2,0,0,2,31334,39877,0,238
1,0,0,1,41795,61123,0,983
1,0,0,0,31057,61009,0,324
1,0,0,1,7050,61564,0,294
1,0,0,18,32502,57804,0,3295
2,0,0,784,42869,61750,0,2684
2,0,0,908,28559,62364,0,251
0,0,0,2034,8059,47227,0,271
0,0,0,2297,8271,39433,0,179
0,0,0,2366,9421,44837,0,33
0,0,0,2107,7250,44837,0,53
2,0,0,834,10073,34842,0,85
2,0,0,454,10034,36512,0,102
0,0,0,1254,9292,21745,0,103
0,0,0,1338,8337,21113,0,28
0,0,0,1558,2467,16941,0,23
0,0,0,1653,2839,5036,0,20
0,0,0,1951,6700,11537,0,29
0,0,0,2052,8837,12442,0,85
0,0,0,2051,7036,11189,0,112
0,0,0,2093,3723,11957,0,66
0,0,0,2007,1786,10484,0,38
0,0,0,1838,8558,11482,0,72
2,0,0,2418,42523,12693,0,494
2,0,0,2846,59953,10408,0,5357
2,0,0,2896,52768,20747,0,729
2,0,0,2573,43287,52258,0,253
2,0,0,2893,34154,56295,0,159
2,0,0,2952,18523,65535,0,180
2,0,0,3030,19893,65535,0,132
2,0,0,3034,29351,49366,0,117
2,0,0,3052,29956,49366,0,259
2,0,0,2836,21499,18215,0,130
2,0,0,2934,17233,15923,0,77
2,0,0,3046,21000,25280,0,74
2,0,0,3190,22305,24419,0,150
2,0,0,3151,16872,11571,0,58
2,0,0,3255,17033,23827,0,83
2,0,0,3014,19506,19960,0,144
2,0,0,3102,15656,27618,0,38
2,0,0,3124,14998,27645,0,102
2,0,0,3066,14352,19176,0,76
2,0,0,3148,11737,25068,0,63
2,0,0,3089,12572,26397,0,32
2,0,0,3106,13213,22408,0,29
2,0,0,2913,18860,18225,0,111
2,0,0,2790,28188,21949,0,246
2,0,0,3200,42319,17539,0,229
2,0,0,2621,17498,44519,0,1735
0,0,0,2176,9715,44519,0,94
2,0,0,2464,16030,47339,0,403
