LeaveOn,HR,RE,Rress,SDATA,RPK,RPKHD,SwSD
0,0,0,417,89,215,0,42
0,0,0,430,94,225,0,75
0,0,0,433,80,178,0,81
0,0,0,439,188,105,0,112
0,0,0,439,971,68,0,94
0,0,0,444,973,99,0,23
0,0,0,443,205,72,0,15
0,0,0,453,107,176,0,63
0,0,0,455,83,219,0,8
0,0,0,459,75,209,0,18
0,0,0,458,89,117,0,72
0,0,0,463,71,109,0,15
0,0,0,464,28,109,0,8
1,0,0,464,12,75,0,7
0,0,0,464,66,65,0,142
0,0,0,470,94,77,0,73
0,0,0,473,227,104,0,29
0,0,0,476,231,91,0,22
0,0,0,477,80,28,0,7
0,0,0,483,66,20,0,20
0,0,0,488,65,27,0,8
0,0,0,489,13,27,0,5
1,0,0,491,10,34,0,9
1,0,0,493,11,109,0,8
1,0,0,491,15,121,0,9
0,0,0,494,36,90,0,56
0,0,0,496,82,13,0,141
0,0,0,498,75,60,0,10
0,0,0,498,17,140,0,6
1,0,0,499,17,137,0,10
1,0,0,499,19,83,0,5
1,0,0,497,14,55,0,6
4,0,0,501,14,52,0,3
4,0,0,500,16,52,0,9
4,0,0,495,27,105,0,9
0,0,0,501,63,162,0,95
0,0,0,502,63,137,0,8
0,0,0,502,60,90,0,7
0,0,0,495,91,94,0,385
0,0,0,471,645,133,0,70
0,0,0,473,704,133,0,57
0,0,0,474,313,160,0,214
0,0,0,488,228,305,0,61
0,0,0,490,250,264,0,87
0,0,0,492,231,265,0,55
0,0,0,490,180,247,0,55
0,0,0,490,150,211,0,51
0,0,0,492,147,214,0,5
0,0,0,492,42,208,0,6
0,0,0,491,22,213,0,33
1,0,0,493,20,162,0,11
1,0,0,494,18,135,0,65
0,0,0,501,156,101,0,51
0,0,0,498,172,113,0,25
0,0,0,500,77,60,0,13
0,0,0,502,32,24,0,11
1,0,0,501,16,25,0,5
0,0,0,498,45,22,0,54
0,0,0,499,47,43,0,11
0,0,0,497,16,63,0,7
1,0,0,495,17,55,0,73
1,0,0,493,19,108,0,8
0,0,0,481,43,114,0,86
0,0,0,477,45,87,0,15
0,0,0,476,26,106,0,11
0,0,0,476,54,81,0,113
0,0,0,476,62,65,0,29
0,0,0,475,39,118,0,9
0,0,0,478,18,112,0,5
1,0,0,476,15,89,0,3
1,0,0,476,13,89,0,86
1,0,0,483,10,27,0,4
4,0,0,483,7,29,0,6
4,0,0,484,9,53,0,6
4,0,0,476,13,80,0,11
4,0,0,476,14,70,0,4
4,0,0,477,15,45,0,6
0,0,0,476,81,67,0,62
0,0,0,476,85,84,0,6
0,0,0,476,28,64,0,3
1,0,0,477,14,35,0,3
1,0,0,476,26,34,0,40
1,0,0,475,30,40,0,17
0,0,0,476,46,36,0,58
0,0,0,476,66,31,0,37
